utrnno,acct1,acct2,acct_balance,acq_instit_code,amount,capt_date,currency,des_instit_code,ext_resp_code,fee_amount,fraud_flags,hpan,is_alerted,iss_instit_code,merchant_type,pid,pos_data_code,prc_code,ref_num,resp_code,resp_code_desc,stan,sysdate,terminal_address,terminal_id,trans_type,ttime,udate,cif_id,trans_type_desc,cvt_amount,ket_transfer,posconditionmode,sysday,syshour,syssec,trxcode
61977,5070200280314,5070202002294,,,20000000,,,,55,,0,,N,,,2,,,,199,General Error,,2023-08-18 16:36:10.917,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,10,
61976,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:34:19.880,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,19,
61975,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:32:40.146,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,40,
61974,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:31:05.307,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,5,
61973,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:27:22.180,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,22,
61972,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:26:55.809,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,55,
61971,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:23:57.313,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,57,
61970,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 16:22:41.727,,,101,,,,Transfer,"20.000.000,00",Pay_GoPay,,5,16,41,
61969,877478,6474768,,451,50000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 16:17:25.969,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,16,25,401152
61968,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:45:03.615,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,3,
61967,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:44:54.282,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,54,
61966,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:42:01.723,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,1,
